"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
2.899532910E-1;-9.097966552E-2;7.900865376E-2;9.483732224E0;9.484497696E0
2.919510000E-1;-8.858546615E-2;7.900865376E-2;9.486125946E0;9.486868567E0
2.939487080E-1;-9.337386489E-2;7.422025502E-2;9.483732224E0;9.484482285E0
2.959464160E-1;-9.337386489E-2;6.943184882E-2;9.471760750E0;9.472475451E0
2.979441250E-1;-9.576806426E-2;6.943184882E-2;9.466972351E0;9.467711328E0
2.999418330E-1;-9.816227108E-2;7.422025502E-2;9.471760750E0;9.472560170E0
3.019395410E-1;-9.816227108E-2;7.422025502E-2;9.471760750E0;9.472560170E0
3.039372500E-1;-9.816227108E-2;6.943184882E-2;9.478943825E0;9.479706359E0
3.059349580E-1;-9.576806426E-2;6.703764945E-2;9.493309021E0;9.494028741E0
3.079326660E-1;-9.576806426E-2;6.224924326E-2;9.500492096E0;9.501178693E0
3.099303750E-1;-9.337386489E-2;5.746084079E-2;9.498097420E0;9.498730179E0
3.119280830E-1;-9.816227108E-2;6.224924326E-2;9.488520622E0;9.489232551E0
3.139257910E-1;-1.029506698E-1;6.943184882E-2;9.490914345E0;9.491726646E0
3.159235000E-1;-1.029506698E-1;7.422025502E-2;9.488520622E0;9.489369372E0
3.179212080E-1;-9.097966552E-2;7.422025502E-2;9.474155426E0;9.474882953E0
3.199189160E-1;-7.900865376E-2;7.422025502E-2;9.466972351E0;9.467592963E0
3.219166250E-1;-8.140286058E-2;7.422025502E-2;9.469367027E0;9.470007760E0
3.239143330E-1;-9.097966552E-2;7.422025502E-2;9.471760750E0;9.472488461E0
3.259120410E-1;-9.816227108E-2;7.422025502E-2;9.471760750E0;9.472560170E0
3.279097500E-1;-1.005564705E-1;7.422025502E-2;9.471760750E0;9.472585283E0
3.299074580E-1;-9.816227108E-2;7.422025502E-2;9.466972351E0;9.467772176E0
3.319051660E-1;-1.005564705E-1;7.422025502E-2;9.457395554E0;9.458221340E0
3.339028750E-1;-1.005564705E-1;7.422025502E-2;9.452607155E0;9.453433359E0
3.359005830E-1;-1.029506698E-1;7.422025502E-2;9.450213432E0;9.451065623E0
3.378982910E-1;-1.053448766E-1;7.661445439E-2;9.457395554E0;9.458292551E0
3.398960000E-1;-1.005564705E-1;7.900865376E-2;9.474155426E0;9.475018470E0
3.418937080E-1;-9.097966552E-2;8.140286058E-2;9.481337547E0;9.482123465E0
3.438914160E-1;-9.337386489E-2;7.661445439E-2;9.481337547E0;9.482106841E0
3.458891250E-1;-9.337386489E-2;6.943184882E-2;9.474155426E0;9.474869946E0
3.478868330E-1;-8.858546615E-2;6.464344263E-2;9.471760750E0;9.472395571E0
3.498845410E-1;-9.097966552E-2;6.703764945E-2;9.481337547E0;9.482011023E0
3.518822500E-1;-9.816227108E-2;7.661445439E-2;9.488520622E0;9.489337659E0
3.538799580E-1;-1.053448766E-1;8.140286058E-2;9.488520622E0;9.489454545E0
3.558776660E-1;-1.053448766E-1;7.661445439E-2;9.493309021E0;9.494202625E0
3.578753750E-1;-1.029506698E-1;6.943184882E-2;9.498097420E0;9.498909107E0
3.598730830E-1;-9.816227108E-2;6.943184882E-2;9.500492096E0;9.501252900E0
3.618707910E-1;-9.816227108E-2;7.182604820E-2;9.500492096E0;9.501270698E0
3.638685000E-1;-1.005564705E-1;7.422025502E-2;9.498097420E0;9.498919667E0
3.658662080E-1;-1.053448766E-1;7.182604820E-2;9.498097420E0;9.498953159E0
3.678639160E-1;-1.053448766E-1;6.703764945E-2;9.502885818E0;9.503706144E0
3.698616250E-1;-1.029506698E-1;6.703764945E-2;9.505280495E0;9.506074383E0
3.718593330E-1;-9.576806426E-2;7.182604820E-2;9.500492096E0;9.501246264E0
3.738570410E-1;-9.576806426E-2;7.182604820E-2;9.490914345E0;9.491669274E0
