"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.744520125E0;3.852987671E-1;3.149450684E-1;1.079016174E1;1.080163117E1
1.754500125E0;-1.841171265E-2;3.908372498E-1;8.446335754E0;8.455393570E0
1.764479125E0;-2.350112915E-1;3.053649902E-2;1.013557297E1;1.013834317E1
1.774459125E0;3.724255371E-1;9.231303406E-1;1.088266937E1;1.092809970E1
1.784439125E0;3.375480652E-1;7.418572998E-1;8.599317627E0;8.637855903E0
1.794418125E0;1.689985657E-1;-6.765930176E-2;9.805958405E0;9.807647961E0
1.804398125E0;-9.131011963E-3;-4.727169800E-1;9.809850311E0;9.821237592E0
1.814377125E0;1.603166199E-1;-4.436773682E-1;1.018047958E1;1.019140400E1
1.824357125E0;1.336570587E0;1.134191437E0;1.331511108E1;1.343000351E1
1.834336125E0;-6.286926270E-1;-1.505868530E-1;5.403912506E0;5.442444413E0
1.844316125E0;2.100132751E-1;1.818717957E-1;1.118234619E1;1.118579677E1
1.854295125E0;-1.013692017E0;-9.339079285E-1;9.664652252E0;9.762441225E0
1.864275125E0;7.659571838E-1;1.363065491E0;8.774453430E0;8.912669125E0
1.874254125E0;5.010081482E-1;3.171903992E-1;1.069481003E1;1.071123618E1
1.884234125E0;8.744815063E-1;-1.259181519E0;1.160342056E1;1.170425669E1
1.894213125E0;-1.525777130E0;-5.369334412E-1;6.780599670E0;6.970855418E0
1.904193125E0;1.574725342E-1;6.248007202E-1;1.041758652E1;1.043749407E1
1.914172125E0;8.903485107E-1;2.872526550E0;1.130913254E1;1.170216254E1
1.924152125E0;-5.264552307E-1;1.005608826E0;9.723479919E0;9.789507953E0
1.934131125E0;-1.076710968E0;-1.041833496E0;8.406069489E0;8.538543657E0
1.944111125E0;-6.903643799E-1;7.725434875E-1;8.426876221E0;8.490327983E0
1.954090125E0;3.809577942E-1;1.264270935E0;1.167751648E1;1.175193180E1
1.964070125E0;1.197509766E-2;7.926017761E-1;1.000459534E1;1.003594982E1
1.974049125E0;-5.101391602E-1;-3.212319946E-1;8.124654694E0;8.146989987E0
1.984029125E0;-5.578898621E-1;-5.297483826E-1;1.025038422E1;1.027921451E1
1.994008125E0;3.531156921E-1;7.652087402E-1;9.679471436E0;9.716089871E0
2.003988125E0;6.712042236E-1;5.352868652E-1;1.031864227E1;1.035429503E1
2.013967125E0;2.245330811E-3;-8.143066406E-2;9.441616058E0;9.441967474E0
2.023947125E0;-4.191284180E-2;-5.655239868E-1;9.717642059E0;9.734173887E0
2.033927125E0;4.477189636E-1;-2.155517578E-1;1.092084000E1;1.093213891E1
2.043906125E0;5.541476440E-1;3.466790771E-1;8.957971802E0;8.981788508E0
2.053886125E0;1.622625732E-1;1.669029236E-1;1.018676651E1;1.018942578E1
2.063865125E0;2.564167786E-1;3.489244080E-1;9.570048981E0;9.579840046E0
2.073845125E0;3.237767029E-1;2.157014465E-1;9.773625641E0;9.781365786E0
2.083824125E0;-7.514373779E-2;-3.013233948E-1;9.705666962E0;9.710634044E0
2.093804125E0;-6.673123169E-1;-7.152127075E-1;7.573351135E0;7.636261020E0
2.103783125E0;2.299069061E0;2.169738007E0;1.731733841E1;1.760351360E1
2.113763125E0;-4.257147217E-1;2.300715637E-1;4.040397949E0;4.069272851E0
2.123742125E0;9.422904968E-1;-3.715274048E-1;1.101424576E1;1.106072121E1
2.133722125E0;-2.234702911E0;-3.939807129E-1;7.898475037E0;8.217969689E0
2.143701125E0;1.160386963E0;1.513352966E0;1.104508163E1;1.120850407E1
2.153681125E0;9.446855164E-1;9.654922485E-1;8.380921783E0;8.489078628E0
2.163660125E0;-9.128018188E-1;6.310876465E-1;1.382060989E1;1.386509057E1
2.173640125E0;-7.610174561E-1;-1.419947205E0;4.347259827E0;4.636169284E0
2.183619125E0;-3.026705933E-1;9.849517822E-2;1.060020676E1;1.060498440E1
2.193599125E0;-8.068222046E-2;1.267264709E0;1.525103531E1;1.530380827E1
2.203578125E0;1.517544250E0;5.394781494E-1;6.030210114E0;6.241587237E0
2.213558125E0;-1.443448334E0;-5.650749207E-1;8.940607910E0;9.073991545E0
2.223537125E0;-3.323089600E-2;4.700225830E-1;1.122440872E1;1.123429467E1
2.233517125E0;1.424737244E0;7.764353943E-1;7.890840912E0;8.055935602E0
2.243496125E0;-4.924758911E-1;4.526586914E-1;1.131586853E1;1.133562142E1
2.253476125E0;2.498304749E-1;2.255809021E-1;1.102981339E1;1.103494836E1
2.263456125E0;-2.474354553E-1;1.965412903E-1;6.458319855E0;6.466045788E0
2.273435500E0;-4.472698975E-1;8.382568359E-3;1.220726486E1;1.221545890E1
2.283415500E0;4.019142151E-1;7.970924377E-1;9.847272491E0;9.887652245E0
2.293394500E0;1.637594604E-1;3.809577942E-1;8.793463898E0;8.803235389E0
2.303374500E0;-6.966513062E-1;6.092330933E-2;1.079584991E1;1.081847540E1
2.313353500E0;4.444258118E-1;5.686674500E-1;8.385412445E0;8.416414845E0
2.323333500E0;4.990621948E-1;4.134402466E-1;1.066098038E1;1.068066002E1
2.333312500E0;3.278182983E-2;-5.583389282E-2;1.023361908E1;1.023382390E1
2.343292500E0;1.437011719E-2;2.040257263E-1;8.043822784E0;8.046422682E0
2.353271500E0;-4.423301697E-1;-3.282673645E-1;1.003123993E1;1.004635207E1
2.363251500E0;2.103425903E0;2.024839325E0;1.458806396E1;1.487736486E1
2.373230500E0;-7.792794800E-1;2.779719543E-1;6.564748535E0;6.616681060E0
2.383210500E0;-3.143463135E-1;-1.315614166E0;9.143136749E0;9.242651343E0
2.393189500E0;-1.479822693E0;-5.745053101E-1;7.810757446E0;7.970436841E0
2.403169500E0;-1.978884888E-1;4.207749939E-1;1.264211060E1;1.265065895E1
2.413148500E0;2.102527771E0;1.880988464E0;8.497678986E0;8.953730439E0
2.423128500E0;-1.663790131E0;-1.038989410E0;1.282652710E1;1.297565004E1
2.433107500E0;-1.462458801E-1;-7.586224365E-1;4.668491821E0;4.731988139E0
2.443087500E0;-9.601034546E-1;-1.279389496E0;9.108558655E0;9.247944469E0
2.453066500E0;9.014254761E-1;9.394464111E-1;1.739293121E1;1.744159349E1
2.463046500E0;8.687933350E-1;1.963916016E-1;4.160148926E0;4.254434229E0
2.473025500E0;-6.225553894E-1;-6.785389709E-1;9.408983917E0;9.453939322E0
2.483005500E0;-1.537752228E0;-3.695814514E-1;8.698261871E0;8.840872805E0
2.492984500E0;2.236648865E0;1.942061462E0;1.306707687E1;1.339860810E1
2.502964500E0;1.197509766E-1;2.347119141E-1;9.821975098E0;9.825508882E0
2.512944500E0;-1.340462494E0;-4.978646851E-1;8.080945587E0;8.206484663E0
2.522923500E0;2.366578674E-1;5.978567505E-1;1.074989548E1;1.076910825E1
2.532903500E0;9.578581238E-1;1.132544861E0;9.745334473E0;9.857570392E0
2.542882500E0;-2.112107849E-1;7.590715027E-1;1.028316605E1;1.031330711E1
2.552862500E0;-6.231541443E-1;-6.436614990E-2;8.409512329E0;8.432814578E0
2.562841500E0;1.037642212E0;1.016685791E0;1.075378738E1;1.085146508E1
2.572821500E0;-5.240602112E-1;-7.334747314E-2;9.715396729E0;9.729797148E0
