"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.356232292E0;-2.432591400E0;2.697390747E-1;9.813891907E0;1.011448142E1
1.366212292E0;-7.544311523E-2;5.553451538E-1;9.771380310E0;9.787439556E0
1.376191292E0;2.398312683E0;5.204676819E-1;9.727820892E0;1.003261131E1
1.386170292E0;2.110161896E0;2.633024597E-1;9.760752411E0;9.989714663E0
1.396149292E0;3.900888062E-1;5.113366699E-1;9.817185059E0;9.838229360E0
1.406128292E0;-2.589614868E-1;1.195713501E0;9.795031128E0;9.871141100E0
1.416108292E0;-3.107537842E-1;1.030606842E0;9.761949921E0;9.821119317E0
1.426087292E0;-2.402503967E-1;4.361929321E-1;9.782756653E0;9.795423026E0
1.436066292E0;-2.477348328E-1;4.529580688E-1;9.769434357E0;9.783066554E0
1.446045292E0;-2.772235107E-1;6.982978821E-1;9.792785797E0;9.821564360E0
1.456024292E0;-1.956431580E-1;6.225553894E-1;9.796378326E0;9.818089416E0
1.466004292E0;-1.972897339E-1;4.258644104E-1;9.756411438E0;9.767694092E0
1.475983292E0;-2.109114075E-1;2.591111755E-1;9.779014435E0;9.784720003E0
1.485962292E0;4.445755005E-2;2.680924988E-1;9.784403229E0;9.788176368E0
1.495941292E0;3.412902832E-1;1.055305481E-1;9.782307587E0;9.788828197E0
1.505921292E0;3.165916443E-1;1.142124939E-1;9.806108093E0;9.811882118E0
1.515900292E0;2.427951050E-1;4.775070190E-1;9.755662994E0;9.770359404E0
1.525879292E0;-1.886077881E-1;5.050497437E-1;9.770482178E0;9.785344661E0
1.535858292E0;-6.505471802E-1;6.177653503E-1;9.840835876E0;9.881644418E0
1.545837292E0;-8.894503784E-1;1.321302338E0;9.767638092E0;9.896651744E0
1.555817292E0;-1.197210388E0;1.476080475E0;9.807604980E0;9.990057144E0
1.565796292E0;-9.045689392E-1;7.755372620E-1;9.753267975E0;9.825779318E0
1.575775292E0;-1.151106262E-1;1.466949463E-2;9.783954163E0;9.784642288E0
1.585754292E0;6.137237549E-3;2.097138977E-1;9.790989532E0;9.793237136E0
1.595733292E0;1.959425354E-1;5.002597046E-1;9.742640076E0;9.757442744E0
1.605713292E0;5.177732849E-1;3.582051086E-1;9.819879456E0;9.840042307E0
1.615692333E0;4.095483398E-1;1.689985657E-1;9.779313812E0;9.789344666E0
1.625671333E0;-9.175918579E-2;3.100053406E-1;9.760303345E0;9.765656375E0
1.635650333E0;-9.909393311E-2;4.453239441E-1;9.812245331E0;9.822845385E0
1.645629333E0;-1.374142456E-1;3.634442139E-1;9.808802490E0;9.816495335E0
1.655609333E0;-8.143066406E-2;4.010160828E-1;9.767039337E0;9.775607514E0
1.665588333E0;-1.330732727E-1;3.649411011E-1;9.805359650E0;9.813050920E0
1.675567333E0;-4.188290405E-1;3.707789612E-1;9.772577820E0;9.788573545E0
1.685546333E0;-3.029699707E-1;3.052153015E-1;9.797126770E0;9.806561076E0
1.695525333E0;-4.730163574E-2;4.105961609E-1;9.745334473E0;9.754095070E0
1.705505333E0;2.859054565E-2;5.921685791E-1;9.819580078E0;9.837460747E0
1.715484333E0;-1.805245972E-1;7.054829407E-1;9.800270233E0;9.827288128E0
1.725463333E0;-5.337899780E-1;7.212002563E-1;9.778864746E0;9.819941816E0
1.735442333E0;-1.369651794E-1;5.709127808E-1;9.751322021E0;9.768980603E0
1.745422333E0;2.903961182E-2;5.276527405E-1;9.808203735E0;9.822429497E0
1.755401333E0;-6.616241455E-2;5.978567505E-1;9.812095642E0;9.830515299E0
1.765380333E0;-1.167572021E-1;3.812571716E-1;9.722881165E0;9.731053767E0
1.775359333E0;2.095642090E-1;2.245330811E-3;9.810898132E0;9.813136316E0
1.785338333E0;4.818479919E-1;-6.421646118E-2;9.745933228E0;9.758048766E0
1.795318333E0;7.458988953E-1;-1.386117554E-1;9.793833618E0;9.823174401E0
1.805297333E0;5.403762817E-1;-2.844085693E-2;9.799671478E0;9.814600170E0
1.815276333E0;7.667056274E-1;1.047821045E-2;9.797426147E0;9.827385534E0
1.825255333E0;9.181906128E-1;2.165995789E-1;9.767039337E0;9.812494423E0
1.835234333E0;5.843847656E-1;4.396357727E-1;9.776769104E0;9.804080746E0
1.845214333E0;4.204756165E-1;5.640270996E-1;9.782157898E0;9.807422671E0
1.855193333E0;4.203259277E-1;5.114863586E-1;9.761650543E0;9.784074484E0
1.865172333E0;5.325924683E-1;2.402503967E-1;9.807305603E0;9.824694305E0
1.875151333E0;3.670367432E-1;4.311035156E-1;9.738448792E0;9.754893699E0
1.885130333E0;1.869612122E-1;3.014730835E-1;9.757010193E0;9.763456786E0
1.895110333E0;1.261875916E-1;2.433938599E-1;9.778265991E0;9.782108652E0
1.905089333E0;4.805007935E-2;1.832189941E-1;9.804461517E0;9.806291024E0
1.915068333E0;5.074447632E-2;1.210981750E-1;9.782307587E0;9.783188718E0
1.925047333E0;1.056802368E-1;2.698887634E-1;9.808054047E0;9.812335728E0
1.935027333E0;-6.047424316E-2;5.953120422E-1;9.775571594E0;9.793868161E0
1.945006333E0;-2.347119141E-1;5.402265930E-1;9.770482178E0;9.788220290E0
1.954985333E0;-1.237925720E-1;4.632865906E-1;9.829160156E0;9.840851002E0
1.964964333E0;-2.634521484E-1;4.366419983E-1;9.757159882E0;9.770477584E0
1.974943333E0;-1.724414062E-1;2.580633545E-1;9.737999725E0;9.742944698E0
1.984923333E0;1.721420288E-2;4.005670166E-1;9.862391052E0;9.870537348E0
1.994902333E0;1.595681763E-1;5.462141418E-1;9.772577820E0;9.789131174E0
2.004881333E0;5.066963196E-1;4.468208313E-1;9.812993774E0;9.836220658E0
2.014860333E0;4.930746460E-1;5.960604858E-1;9.739496613E0;9.770169137E0
2.024839333E0;4.087998962E-1;5.544470215E-1;9.772278442E0;9.796527691E0
2.034819333E0;5.914201355E-1;5.366340637E-1;9.852960663E0;9.885271252E0
2.044798333E0;7.755372620E-1;5.559439087E-1;9.701475677E0;9.748290209E0
2.054777333E0;8.228388977E-1;4.439767456E-1;9.751471710E0;9.796192103E0
2.064756333E0;6.319857788E-1;1.910028076E-1;9.781708832E0;9.803964288E0
2.074735333E0;6.601272583E-1;-1.972897339E-1;9.806407471E0;9.830580792E0
2.084715333E0;3.701802063E-1;-2.302212524E-1;9.774823151E0;9.784538969E0
2.094694333E0;-1.393601990E-1;-9.610015869E-2;9.808503113E0;9.809963803E0
2.104673333E0;-1.377136230E-1;-4.939727783E-3;9.764794006E0;9.765766300E0
2.114652333E0;-1.300794983E-1;-1.368154907E-1;9.822873230E0;9.824687153E0
2.124632333E0;-2.859054565E-1;3.203338623E-2;9.803114319E0;9.807334929E0
2.134611333E0;1.556762695E-2;4.604425049E-1;9.786798248E0;9.797635919E0
2.144590333E0;1.642085266E-1;3.577560425E-1;9.785451050E0;9.793365411E0
2.154569333E0;1.502874756E-1;3.388952637E-1;9.783804474E0;9.790825619E0
2.164548333E0;2.203417969E-1;1.704954529E-1;9.780211945E0;9.784179316E0
2.174528333E0;1.767823792E-1;5.987548828E-3;9.785451050E0;9.787049612E0
2.184507333E0;-4.041595459E-3;1.182540894E-1;9.802814941E0;9.803529015E0
2.194486333E0;4.475692749E-2;1.793270874E-1;9.742490387E0;9.744243446E0
2.204465333E0;1.332229614E-1;3.038681030E-2;9.816286926E0;9.817237938E0
2.214444333E0;4.090992737E-1;8.666976929E-2;9.761351166E0;9.770304522E0
2.224424333E0;5.686674500E-1;2.393522644E-1;9.802066498E0;9.821465257E0
2.234403333E0;4.851411438E-1;4.583468628E-1;9.771679688E0;9.794445757E0
2.244382333E0;3.240760803E-1;3.302133179E-1;9.746531982E0;9.757507460E0
2.254361333E0;1.321751404E-1;2.930905151E-1;9.787995758E0;9.793274901E0
2.264340333E0;-5.613327026E-2;2.028282166E-1;9.813891907E0;9.816148154E0
2.274320333E0;-2.606080627E-1;-9.580078125E-3;9.743388519E0;9.746877868E0
2.284299333E0;-4.629872131E-1;4.924758911E-2;9.853559418E0;9.864553496E0
2.294278333E0;-6.092330933E-1;2.990780640E-1;9.750573578E0;9.774164811E0
2.304257333E0;-5.260061646E-1;1.649569702E-1;9.820029144E0;9.835490109E0
2.314236333E0;-3.882925415E-1;5.044509888E-2;9.779014435E0;9.786850317E0
2.324216333E0;-3.980223083E-1;7.439529419E-2;9.800569611E0;9.808930681E0
2.334195333E0;-4.791535950E-1;1.344204712E-1;9.790241089E0;9.802881087E0
2.344174333E0;-3.393443298E-1;1.814227295E-1;9.764344940E0;9.771924114E0
2.354153333E0;-2.475851440E-1;2.110610962E-2;9.803862762E0;9.807011213E0
2.364133333E0;-1.242416382E-2;-5.059478760E-2;9.789043579E0;9.789182212E0
2.374112333E0;2.341131592E-1;6.331832886E-2;9.770631866E0;9.773641351E0
2.384091333E0;2.335144043E-1;1.616638184E-2;9.797725525E0;9.800521200E0
2.394070333E0;4.134402466E-1;1.098715210E-1;9.766889648E0;9.776253781E0
2.404049333E0;6.743476868E-1;2.929408264E-1;9.798623657E0;9.826168363E0
2.414029333E0;7.517367554E-1;3.088078308E-1;9.783505096E0;9.817201353E0
2.424008333E0;8.672964478E-1;2.857557678E-1;9.780361633E0;9.822898410E0
2.433987333E0;8.437953186E-1;2.151026917E-1;9.768685913E0;9.807419853E0
2.443966333E0;6.462062073E-1;3.631448364E-1;9.786199493E0;9.814232377E0
2.453945333E0;8.704399109E-1;3.809577942E-1;9.789941711E0;9.835941907E0
2.463925333E0;6.680607605E-1;6.780899048E-2;9.796827393E0;9.819813145E0
2.473904333E0;4.552033997E-1;3.435356140E-1;9.793085175E0;9.809676044E0
2.483883333E0;5.010081482E-1;3.579057312E-1;9.768685913E0;9.788070808E0
2.493862333E0;5.733078003E-1;3.579057312E-1;9.780361633E0;9.803685635E0
2.503841333E0;7.491920471E-1;3.646417236E-1;9.811047821E0;9.846365403E0
2.513821333E0;8.062234497E-1;3.864962769E-1;9.756860504E0;9.797739664E0
2.523800333E0;8.041278076E-1;3.538641357E-1;9.790241089E0;9.829580964E0
2.533779333E0;7.376660156E-1;3.453318787E-1;9.730365601E0;9.764395525E0
2.543758333E0;7.116201782E-1;3.604504395E-1;9.786049805E0;9.818507961E0
2.553738333E0;7.093748474E-1;7.319778442E-2;9.826016693E0;9.851861481E0
2.563717333E0;6.189628601E-1;1.600172424E-1;9.738149414E0;9.759112385E0
2.573696333E0;4.191284180E-1;2.104623413E-1;9.775421906E0;9.786666259E0
2.583675333E0;3.550616455E-1;-8.307723999E-2;9.830956421E0;9.837716948E0
2.593654333E0;2.478845215E-1;-9.954299927E-2;9.817634125E0;9.821267502E0
2.603634333E0;1.362167358E-1;-1.076261902E-1;9.777517548E0;9.779058635E0
2.613613417E0;2.540217590E-1;-5.628295898E-2;9.751920776E0;9.755391005E0
2.623592417E0;3.433859253E-1;5.568420410E-2;9.785301361E0;9.791482898E0
2.633571417E0;3.812571716E-1;-1.317260742E-2;9.773026886E0;9.780469573E0
2.643550417E0;5.071453857E-1;2.050735474E-2;9.861792297E0;9.874845027E0
2.653530417E0;4.577481079E-1;7.664062500E-2;9.721533966E0;9.732606525E0
2.663509417E0;3.186872864E-1;7.080276489E-2;9.811796265E0;9.817225706E0
2.673488417E0;2.411485291E-1;-6.990463257E-2;9.799970856E0;9.803186627E0
2.683467417E0;7.080276489E-2;4.745132446E-2;9.805209961E0;9.805580403E0
2.693446417E0;1.026864624E-1;-2.634521484E-2;9.770931244E0;9.771506330E0
2.703426417E0;1.610650635E-1;-3.442840576E-3;9.774823151E0;9.776150645E0
2.713405417E0;-9.385482788E-2;1.282832336E-1;9.760153656E0;9.761447880E0
2.723384417E0;-9.250762939E-2;2.805166626E-1;9.772128754E0;9.776591821E0
2.733363417E0;5.373825073E-2;3.890409851E-1;9.799970856E0;9.807837145E0
2.743342417E0;1.752854919E-1;1.854643250E-1;9.793384552E0;9.796708784E0
2.753322417E0;1.505868530E-1;3.632945251E-1;9.813592529E0;9.821469220E0
2.763301417E0;8.038284302E-2;3.604504395E-1;9.762548676E0;9.769531338E0
2.773280417E0;3.233276367E-2;2.625540161E-1;9.807604980E0;9.811171972E0
2.783259417E0;3.532653809E-2;3.698808289E-1;9.773475952E0;9.780536385E0
2.793239417E0;-5.388793945E-3;2.959346008E-1;9.776469727E0;9.780949169E0
2.803218417E0;9.759704590E-2;1.562750244E-1;9.807604980E0;9.809335478E0
2.813197417E0;1.161584473E-1;1.206491089E-1;9.784852295E0;9.786285476E0
2.823176417E0;1.866618347E-1;-3.143463135E-2;9.803563385E0;9.805390651E0
2.833155417E0;2.273771667E-1;6.032455444E-2;9.727671204E0;9.730515221E0
2.843135417E0;2.029779053E-1;2.254312134E-1;9.815837860E0;9.820524027E0
2.853114417E0;1.396595764E-1;-5.089416504E-2;9.798623657E0;9.799751047E0
2.863093417E0;5.807922363E-2;1.300794983E-1;9.751322021E0;9.752362536E0
2.873072417E0;-3.547622681E-2;3.326083374E-1;9.785750427E0;9.791465585E0
2.883051417E0;-1.501377869E-1;1.273851013E-1;9.789193268E0;9.791173227E0
2.893031417E0;-2.984793091E-1;9.220825195E-2;9.852511597E0;9.857463011E0
2.903010417E0;-1.941462708E-1;2.782713318E-1;9.755513306E0;9.761412171E0
2.912989417E0;-9.639953613E-2;2.128573608E-1;9.802814941E0;9.805599518E0
2.922968417E0;7.095245361E-2;9.160949707E-2;9.745035095E0;9.745723963E0
2.932947417E0;1.425036621E-1;1.833686829E-1;9.818831635E0;9.821577574E0
2.942927417E0;2.201921082E-1;1.606159973E-1;9.811796265E0;9.815580880E0
2.952906417E0;1.719923401E-1;1.261875916E-1;9.798773346E0;9.801095029E0
2.962885417E0;9.355545044E-2;1.148112488E-1;9.782606964E0;9.783727984E0
2.972864417E0;1.886077881E-2;1.672023010E-1;9.779912567E0;9.781359934E0
2.982844417E0;-4.610412598E-2;-2.245330811E-2;9.767189026E0;9.767323646E0
2.992823417E0;-2.942880249E-1;4.370910645E-2;9.807305603E0;9.811817320E0
3.002802417E0;-2.639012146E-1;-1.820214844E-1;9.787696381E0;9.792945221E0
3.012781417E0;-2.939886475E-1;-3.113525391E-1;9.785900116E0;9.795264714E0
3.022760417E0;-2.040257263E-1;-1.332229614E-1;9.777667236E0;9.780703014E0
3.032740417E0;-1.811233521E-2;1.437011719E-2;9.823322296E0;9.823349505E0
3.042719417E0;1.442999268E-1;2.275268555E-1;9.772128754E0;9.775842231E0
3.052698417E0;4.288581848E-1;3.370989990E-1;9.757758636E0;9.772993845E0
3.062677417E0;4.125421143E-1;2.966830444E-1;9.792935486E0;9.806110200E0
3.072656417E0;4.334985352E-1;8.622070312E-2;9.797575836E0;9.807540326E0
3.082636417E0;4.715194702E-1;3.475772095E-1;9.809101868E0;9.826577226E0
3.092615417E0;3.969744873E-1;2.206411743E-1;9.800569611E0;9.811087400E0
3.102594417E0;6.331832886E-2;-1.860630798E-1;9.798923035E0;9.800893904E0
3.112573417E0;6.137237549E-3;4.745132446E-2;9.801018677E0;9.801135465E0
3.122552417E0;2.083666992E-1;-4.340972900E-2;9.737700348E0;9.740026137E0
3.132532417E0;1.285826111E-1;-1.534309387E-1;9.778116302E0;9.780165283E0
3.142511417E0;8.502319336E-2;-1.652563477E-1;9.833650818E0;9.835406805E0
3.152490417E0;-7.753875732E-2;-8.352630615E-2;9.767787781E0;9.768452643E0
3.162469417E0;-1.055305481E-1;2.014810181E-1;9.793384552E0;9.796025331E0
3.172449417E0;3.083587646E-2;2.740800476E-1;9.793234863E0;9.797117934E0
3.182428417E0;-4.924758911E-2;2.824626160E-1;9.766739960E0;9.770947748E0
